Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ASML,695.995,2021/06/24,12:31 EDT,14.344971,691.67,697.96,690.67,241534,,,0.07,,,,
MOH,248.52,2021/06/24,12:30 EDT,0.02999878,250.58,253.05,248.255,93733,,,0.2,,,,
VALE,22.6237,2021/06/24,12:31 EDT,0.25969887,22.51,22.685,22.335,10596686,,,2.17,,,,
JD,74.76,2021/06/24,12:31 EDT,1.6200027,73.71,74.9,73.05,5043905,,,0.68,,,,
SMSN.IL,1791.5,2021/06/24,16:35 BST,33.0,1788.0,1794.0,1783.5,23341,,,0.03,,,,
VRTX,192.31,2021/06/24,12:31 EDT,4.7899933,188.6,193.28,188.29,1242306,,,0.26,,,,
ENTG,119.15,2021/06/24,12:31 EDT,0.58000183,119.7,120.62,118.98,186393,,,0.42,,,,
PKI,149.93,2021/06/24,12:31 EDT,-4.720001,155.82,156.59,149.74,620076,,,0.32,,,,
MKSI,171.8994,2021/06/24,12:31 EDT,1.6194,172.44,173.26,171.8,91000,,,0.35,,,,
TECH,441.93,2021/06/24,12:29 EDT,-2.5,448.91,449.305,440.155,51635,,,0.11,,,,
DT,59.9,2021/06/24,12:31 EDT,1.0800018,59.5,59.98,59.03,671669,,,0.84,,,,
VBK,289.04,2021/06/24,12:21 EDT,2.1134949,288.63,289.17,288.35,33907,,,0.17,,,,
CCS,66.45,2021/06/24,12:31 EDT,-0.13000488,66.96,66.6,65.2201,153242,,,5.0,,,,
HZO,47.9631,2021/06/24,12:30 EDT,-0.2569008,48.8,48.68,47.49,146570,,,8.0,,,,
BXC,46.32,2021/06/24,12:29 EDT,0.77000046,45.92,46.54,45.5,57536,,,6.0,,,,
OGZD.IL,7.63,2021/06/24,16:37 BST,0.01600027,7.634,7.7,7.602,6002561,,,6.67,,,,
MTS.MC,25.52,2021/06/24,17:35 CEST,0.6400013,24.94,25.52,24.665,484529,,,1.8,,,,
0700.HK,583.0,2021/06/24,16:08 HKT,0.5,584.0,587.5,580.0,10947302,,,1.33,,,,
0968.HK,16.04,2021/06/24,16:08 HKT,0.52000046,15.74,16.38,15.56,55552242,,0.0,27.39,,,,
0257.HK,4.43,2021/06/24,16:08 HKT,0.029999733,4.4,4.44,4.37,13345319,,,88.25,,,,
0981.HK,23.6,2021/06/24,16:08 HKT,-0.29999924,24.1,24.2,23.35,49374559,,,16.18,,,,
3690.HK,315.0,2021/06/24,16:08 HKT,7.0,310.0,319.6,310.0,20689334,,,1.29,,,,
1810.HK,27.45,2021/06/24,16:08 HKT,0.0,27.45,27.65,27.15,57165689,,,14.28,,,,
BABA,219.2799,2021/06/24,12:31 EDT,4.4199066,216.99,219.2799,215.56,6131971,,,0.7,,,,
BIDU,195.4599,2021/06/24,12:31 EDT,6.2899017,190.84,195.71,190.45,2086688,,,0.27,,,,
TSM,117.28,2021/06/24,12:31 EDT,1.2299957,116.72,117.57,116.27,3307605,,,0.44,,,,
NIO,46.0801,2021/06/24,12:31 EDT,0.67010117,45.91,46.5898,45.5,23833233,,,1.44,,,,
AFRM,66.47,2021/06/24,12:31 EDT,1.3099976,66.64,68.33,66.075,857483,,,2.0,,,,
MP,34.9893,2021/06/24,12:31 EDT,1.0493011,34.2,35.25,34.0,1318290,,,2.0,,,,
SFT,8.81,2021/06/24,12:31 EDT,-0.059999466,8.93,9.025,8.81,714570,,,9.42,,,,
PINS,76.7124,2021/06/24,12:31 EDT,1.9224014,75.55,76.79,74.83,3806648,,,0.68,,,,
ETSY,184.8,2021/06/24,12:31 EDT,5.350006,181.45,184.96,178.77,1403169,,,0.28,,,,
SE,295.3525,2021/06/24,12:31 EDT,14.472504,285.72,297.75,284.1393,2290956,,,0.19,,,,
TDOC,165.15,2021/06/24,12:31 EDT,4.649994,161.67,165.91,160.73,1610651,,,0.33,,,,
NET,106.58,2021/06/24,12:31 EDT,2.840004,104.74,109.91,104.0,2780572,,,0.73,,,,
CRWD,255.4246,2021/06/24,12:31 EDT,2.5246124,255.7715,258.37,251.6,1838861,,,0.4,,,,
ROKU,429.39,2021/06/24,12:31 EDT,7.6900024,430.495,431.78,419.55,4267698,,,0.16,,,,
MELI,1556.76,2021/06/24,12:28 EDT,24.0,1550.0,1561.94,1545.54,190854,,,0.04,,,,
WY,34.33,2021/06/24,12:31 EDT,0.41000366,34.33,34.39,33.92,2157960,,,1.47,,,,
TAL,25.83,2021/06/24,12:31 EDT,2.3899994,23.1,26.08,23.1,14477989,,,2.13,,,,
GLP,26.45,2021/06/24,12:25 EDT,-0.069999695,26.73,26.66,26.45,19999,,,2.15,,,,
JPM,151.96,2021/06/24,12:31 EDT,0.8400116,151.92,152.42,151.22,5073072,,,0.33,,,,
GS,366.28,2021/06/24,12:31 EDT,5.230011,363.0,366.9,362.78,1035704,,,0.14,,,,
C,70.61,2021/06/24,12:31 EDT,0.9599991,70.33,71.12,69.9675,11652265,,,0.72,,,,
VOO,392.03,2021/06/24,12:31 EDT,2.2099915,391.89,392.499,391.67,1196914,,,0.13,,,,
VWO,54.135,2021/06/24,12:31 EDT,0.4149971,54.06,54.15,53.93,3624517,,,0.94,,,,
IEMG,66.895,2021/06/24,12:31 EDT,0.5849991,66.72,66.91,66.625,4191371,,,0.76,,,,
RSX,29.15,2021/06/24,12:31 EDT,0.069999695,29.05,29.1998,29.02,1375188,,,1.73,,,,
INDA,44.405,2021/06/24,12:30 EDT,0.15499878,44.5,44.51,44.315,959874,,,1.13,,,,
EWZ,41.75,2021/06/24,12:31 EDT,0.65999985,41.56,41.8299,41.41,9449112,,,1.24,,,,
EWW,47.98,2021/06/24,12:31 EDT,0.5299988,47.8,47.985,47.63,543888,,,1.16,,,,
